"po_id", "po_name", "currency_id", "currency_name", "picking_id", "picking_name"          , "origin" , "layer_id", "layer_create_date"         , "unit_cost"        , "value"           , "quantity" , "description"                                                                                                                , "account_move_line_layer_id", "invoice_id", "invoice_name"                                                 , "invoice_state", "move_line_id", "move_line_name"                                                                                                                                             , "move_line_balance" , "debit"             , "credit"    , "status"
"1"    , "PO00001", "163"        , "PYG"          , "1"         , "WH/IN/00001"           , "PO00001", "27896"   , "2019-03-26 19:02:17"       , "0.0"              , "0.0"             , "100.0"    , "WH/IN/00001"                                                                                                                , ""                          , ""          , ""                                                             , ""             , ""            , ""                                                                                                                                                           , ""                  , ""                  , ""          , "PROBLEMATICO"
"1"    , "PO00001", "163"        , "PYG"          , "1"         , "WH/IN/00001"           , "PO00001", "27897"   , "2019-03-26 19:02:17"       , "0.0"              , "0.0"             , "80.0"     , "WH/IN/00001"                                                                                                                , ""                          , ""          , ""                                                             , ""             , ""            , ""                                                                                                                                                           , ""                  , ""                  , ""          , "PROBLEMATICO"
"2"    , "PO00002", "163"        , "PYG"          , "2"         , "WH/IN/00002"           , "PO00002", "9495"    , "2019-03-26 19:14:21"       , "0.0"              , "0.0"             , "29.0"     , "WH/IN/00002"                                                                                                                , ""                          , ""          , ""                                                             , ""             , ""            , ""                                                                                                                                                           , ""                  , ""                  , ""          , "PROBLEMATICO"
"2"    , "PO00002", "163"        , "PYG"          , "2"         , "WH/IN/00002"           , "PO00002", "20679"   , "2019-03-26 19:14:21"       , "0.0"              , "0.0"             , "10.0"     , "WH/IN/00002"                                                                                                                , ""                          , ""          , ""                                                             , ""             , ""            , ""                                                                                                                                                           , ""                  , ""                  , ""          , "PROBLEMATICO"
"2"    , "PO00002", "163"        , "PYG"          , "3"         , "WH/IN/00003"           , "PO00002", "9414"    , "2019-03-26 19:30:34"       , "0.0"              , "0.0"             , "1.0"      , "WH/IN/00003"                                                                                                                , ""                          , ""          , ""                                                             , ""             , ""            , ""                                                                                                                                                           , ""                  , ""                  , ""          , "PROBLEMATICO"
"2"    , "PO00002", "163"        , "PYG"          , "3"         , "WH/IN/00003"           , "PO00002", "20544"   , "2019-03-26 19:30:34"       , "0.0"              , "0.0"             , "8.0"      , "WH/IN/00003"                                                                                                                , ""                          , ""          , ""                                                             , ""             , ""            , ""                                                                                                                                                           , ""                  , ""                  , ""          , "PROBLEMATICO"
"11"   , "PO00011", "171"        , "USD-COMPRA"   , "10"        , "WH/IN/00006"           , "PO00011", "30209"   , "2019-07-31 21:16:52"       , "7.0"              , "168.0"           , "24.0"     , "WH/IN/00006"                                                                                                                , ""                          , "488"       , "001-001-0020961"                                              , "posted"       , "1778"        , "PO00011: [LC100PI] Detector IR pet immune DSC"                                                                                                              , "1003390.0800000001", "1003390.0800000001", "0.0"       , "USD_REVISAR"
"11"   , "PO00011", "171"        , "USD-COMPRA"   , "10"        , "WH/IN/00006"           , "PO00011", "30213"   , "2019-07-31 21:16:52"       , "20.0"             , "240.0"           , "12.0"     , "WH/IN/00006"                                                                                                                , ""                          , "488"       , "001-001-0020961"                                              , "posted"       , "1780"        , "PO00011: [LC104PIMW] Detector Dual Tecnology - Pet Inmune - DSC"                                                                                            , "1433414.4000000001", "1433414.4000000001", "0.0"       , "USD_REVISAR"
"11"   , "PO00011", "171"        , "USD-COMPRA"   , "10"        , "WH/IN/00006"           , "PO00011", "30515"   , "2019-07-31 21:16:52"       , "20.0"             , "100.0"           , "5.0"      , "WH/IN/00006"                                                                                                                , ""                          , "488"       , "001-001-0020961"                                              , "posted"       , "1781"        , "PO00011: [PC5108  ] Modulo expansor 8 zonas DSC"                                                                                                            , "597256.0"          , "597256.0"          , "0.0"       , "USD_REVISAR"
"11"   , "PO00011", "171"        , "USD-COMPRA"   , "10"        , "WH/IN/00006"           , "PO00011", "30733"   , "2019-07-31 21:16:52"       , "10.9090909"       , "163.6363635"     , "15.0"     , "WH/IN/00006"                                                                                                                , ""                          , "488"       , "001-001-0020961"                                              , "posted"       , "1785"        , "PO00011: [PC5003C] Gabinete metalico P/PC 1832/1864 - DSC"                                                                                                  , "977349.72"         , "977349.72"         , "0.0"       , "USD_REVISAR"
