id                               , valor
"id"                             , "11431"
"_barcode_scanned"               , "False"
"name"                           , "Pictotado"
"workcenter_id"                  , "(10, 'PICOTADORA 1')"
"working_state"                  , "done"
"product_id"                     , "(4558, '[Pic] Picotado Pueblo')"
"product_tracking"               , "none"
"product_uom_id"                 , "(4, 'kg')"
"production_id"                  , "(39832, 'FAB/MO/00028')"
"production_availability"        , "assigned"
"production_state"               , "progress"
"production_bom_id"              , "(1355, '[Pic] Picotado Pueblo')"
"qty_production"                 , "2.07"
"company_id"                     , "(1, 'Fondo Estrella')"
"qty_producing"                  , "5.3740000000000006"
"qty_remaining"                  , "2.07"
"qty_produced"                   , "0.0"
"is_produced"                    , "False"
"state"                          , "progress"
"leave_id"                       , "(12006, 'FAB/MO/00028 - Picotado Pueblo - Pictotado')"
"date_planned_start"             , "2025-06-13 13:49:54.683544"
"date_planned_finished"          , "2025-06-13 16:49:54.683544"
"date_start"                     , "2025-06-13 13:50:09.234154"
"date_finished"                  , "False"
"duration_expected"              , "180.0"
"duration"                       , "4.48"
"duration_unit"                  , "4.48"
"duration_percent"               , "97"
"progress"                       , "2.49"
"operation_id"                   , "(26, 'Pictotado')"
"worksheet"                      , "False"
"worksheet_type"                 , "text"
"worksheet_google_slide"         , "False"
"operation_note"                 , "<p><br></p>"
"move_raw_ids"                   , "[276554, 276555]"
"move_finished_ids"              , "[276556, 276557, 276560]"
"move_line_ids"                  , "[]"
"finished_lot_id"                , "False"
"time_ids"                       , "[436, 435, 434, 433]"
"is_user_working"                , "False"
"working_user_ids"               , "[48, 2]"
"last_working_user_id"           , "[2]"
"costs_hour"                     , "0.0"
"next_work_order_id"             , "False"
"scrap_ids"                      , "[]"
"scrap_count"                    , "0"
"production_date"                , "2025-06-13 13:49:54.683544"
"json_popover"                   , "{'infos': [], 'color': false, 'icon': 'fa-info-circle', 'replan': false}"
"show_json_popover"              , "False"
"consumption"                    , "warning"
"__last_update"                  , "2025-06-23 16:50:58.779283"
"display_name"                   , "FAB/MO/00028 - Picotado Pueblo - Pictotado"
"create_uid"                     , "(48, 'Miguel Nuñez')"
"create_date"                    , "2025-06-13 13:49:46.923019"
"write_uid"                      , "(1, 'OdooBot')"
"write_date"                     , "2025-06-23 16:50:58.779283"
"mo_analytic_account_line_id"    , "False"
"wc_analytic_account_line_id"    , "False"
"quality_point_ids"              , "[]"
"quality_point_count"            , "0"
"check_ids"                      , "[1475, 1476, 1477, 1478, 1479, 1480, 1481]"
"skipped_check_ids"              , "[]"
"finished_product_check_ids"     , "[1475, 1476, 1477, 1478, 1479, 1480, 1481]"
"quality_check_todo"             , "False"
"quality_check_fail"             , "False"
"quality_alert_ids"              , "[]"
"quality_alert_count"            , "0"
"current_quality_check_id"       , "False"
"allow_producing_quantity_change", "False"
"component_id"                   , "False"
"component_tracking"             , "False"
"component_remaining_qty"        , "0.0"
"component_uom_id"               , "False"
"control_date"                   , "False"
"is_first_step"                  , "False"
"is_last_step"                   , "True"
"is_last_lot"                    , "True"
"is_first_started_wo"            , "True"
"is_last_unfinished_wo"          , "True"
"lot_id"                         , "False"
"move_id"                        , "False"
"move_line_id"                   , "False"
"note"                           , "False"
"skip_completed_checks"          , "False"
"quality_state"                  , "False"
"qty_done"                       , "0.0"
"test_type_id"                   , "False"
"test_type"                      , "False"
"user_id"                        , "False"
"worksheet_page"                 , "0"
"picture"                        , "False"
"additional"                     , "False"
"component_qty_to_do"            , "0.0"
"anadir_subproduct"              , "False"
"contador_productos"             , "0.0"
"contador"                       , "3.0"
"auxiliar"                       , "5.3740000000000006"
"peso_promedio"                  , "1.7913333333333334"
"almacenar_peso"                 , "{'producto1': {'name': 'Picotado Pueblo', 'peso': 2.65, 'fecha': '13-06-2025 19:31:05'}, 'producto2': {'name': 'Picotado Pueblo', 'peso': 1.324, 'fecha': '13-06-2025 19:31:11'}, 'producto3': {'name': 'Picotado Pueblo', 'peso': 1.4, 'fecha': '13-06-2025 19:31:17'}, 'producto4': {'name': 'Picotado Pueblo', 'peso': 0.12, 'fecha': '13-06-2025 19:29:31'}, 'producto5': {'name': 'Picotado Pueblo', 'peso': 1.45, 'fecha': '13-06-2025 19:29:38'}}"
"measure"                        , "0.0"
"measure_success"                , "False"
"norm_unit"                      , "False"
