id    , name     , moneda      , estado    , producto                                                                                                                             , cantidad   , precio_unitario
"1821", "PO01818", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Cable de Conexion Tipo C Blanco INVUE"                                                                                         , "16.0"     , "9.05"
""    , ""       , ""          , ""        , "  └─ Pedestal de alarma para movil Blanco INVUE"                                                                                    , "15.0"     , "58.75"
""    , ""       , ""          , ""        , "  └─ Estacion de programacion de llave INVUE"                                                                                       , "15.0"     , "35.3"
"1817", "PO01814", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Pedestal Synergy Primario 2.5  Gris - Sensormatic"                                                                             , "4.0"      , "934.49"
""    , ""       , ""          , ""        , "  └─ Pedestal Synergy Secundario 2.5   Gris - Sensormatic"                                                                          , "4.0"      , "723.86"
""    , ""       , ""          , ""        , "  └─ SS Cable - Sensormatic"                                                                                                        , "4.0"      , "57.78"
"1813", "PO01810", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Detector RF portátil  "                                                                                                        , "2.0"      , "30.0"
"1811", "PO01808", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ Humo test"                                                                                                                     , "25.0"     , "18.0"
"1810", "PO01807", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
""    , ""       , ""          , ""        , "  └─ DESACTIVADOR ELECTRONICO 230V/50HZ"                                                                                            , "10.0"     , "70.0"
""    , ""       , ""          , ""        , "  └─ SEPARADOR MANUAL TIPO SUPERTAG MK225"                                                                                          , "40.0"     , "14.0"
""    , ""       , ""          , ""        , "  └─ PEDESTAL AM - PRIMARIO"                                                                                                        , "10.0"     , "130.0"
""    , ""       , ""          , ""        , "  └─ PEDESTAL AM - SECUNDARIO"                                                                                                      , "5.0"      , "60.0"
""    , ""       , ""          , ""        , "  └─ TACHUELA AM 16MM"                                                                                                              , "40000.0"  , "0.0048"
""    , ""       , ""          , ""        , "  └─ ETIQUETA AM 16MM"                                                                                                              , "50000.0"  , "0.0738"
"1809", "PO01806", "USD-COMPRA", "done"    , "PADRE"                                                                                                                              , ""         , ""
